user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_risk_score,risk_tier
1678,2024-08-03,Premium,699,2.6,6,4,16,53,Yes,0.9600555690251067,Critical
1294,2024-12-27,Premium,699,2.9,5,4,26,55,Yes,0.9595913331641511,Critical
2412,2023-01-16,Premium,699,2.6,6,5,11,55,Yes,0.9594804956350923,Critical
389,2024-05-22,Premium,699,4.6,7,4,19,47,Yes,0.9589214262749313,Critical
2583,2024-07-24,Standard,399,1.7,6,3,12,43,Yes,0.95866305310766,Critical
2023,2023-11-29,Basic,199,1.5,5,3,11,29,Yes,0.9585452028403898,Critical
1695,2023-12-05,Premium,699,3.6,8,4,7,41,Yes,0.9584509294006716,Critical
57,2024-03-22,Basic,199,1.4,6,2,17,46,Yes,0.9582786103164561,Critical
1817,2023-07-07,Standard,399,2.8,7,2,20,40,Yes,0.9579494567299659,Critical
336,2024-10-15,Premium,699,0.7,8,3,10,23,Yes,0.9578942906035895,Critical
1609,2023-11-18,Basic,199,1.9,1,2,27,57,Yes,0.9576755693217355,Critical
1283,2024-01-12,Basic,199,2.7,3,5,8,60,Yes,0.9575695551903588,Critical
1183,2024-05-25,Premium,699,4.6,6,5,5,48,Yes,0.9571211605549808,Critical
206,2023-11-13,Basic,199,2.8,6,4,34,23,Yes,0.9569575090166846,Critical
2444,2023-01-17,Standard,399,2.9,6,3,34,54,Yes,0.9565819289525426,Critical
1442,2023-07-23,Basic,199,2.8,6,2,4,48,Yes,0.9557278630326353,Critical
1218,2024-11-17,Standard,399,0.8,1,5,3,58,Yes,0.9552965912925097,Critical
138,2024-08-20,Basic,199,2.4,6,4,12,43,Yes,0.9549297868969003,Critical
1765,2024-04-18,Standard,399,1.0,6,5,14,8,Yes,0.9548259064108494,Critical
486,2024-08-26,Premium,699,2.6,5,4,7,26,Yes,0.9547711810370765,Critical
985,2024-11-08,Standard,399,2.9,5,2,25,26,Yes,0.9539482436080498,Critical
2461,2024-01-13,Basic,199,3.7,8,5,1,45,Yes,0.9538007340041803,Critical
2517,2024-05-15,Premium,699,3.0,6,2,15,48,Yes,0.9536427235667246,Critical
1947,2024-05-24,Basic,199,3.1,8,3,32,39,Yes,0.9529202887132957,Critical
2164,2024-06-30,Premium,699,2.2,1,2,5,52,Yes,0.9528726399393791,Critical
773,2024-12-25,Basic,199,2.7,7,5,8,23,Yes,0.9526715958611771,Critical
1567,2024-03-06,Premium,699,3.1,2,5,16,57,Yes,0.9525878899985336,Critical
672,2024-09-12,Standard,399,1.0,1,2,23,55,Yes,0.9521905866126008,Critical
343,2023-04-08,Basic,199,2.5,6,5,11,50,Yes,0.9521639600134707,Critical
295,2024-02-15,Standard,399,4.8,6,3,13,32,Yes,0.952049216511433,Critical
869,2024-12-13,Premium,699,4.8,0,3,13,42,Yes,0.9519959909401527,Critical
783,2023-02-06,Premium,699,4.8,7,5,36,37,Yes,0.9495533647815906,Critical
112,2023-10-23,Basic,199,2.0,4,4,5,47,Yes,0.9493993786338462,Critical
2228,2024-08-17,Premium,699,0.9,4,4,27,42,Yes,0.949252728916279,Critical
2138,2024-07-17,Premium,699,0.6,3,2,26,59,Yes,0.9487726495272022,Critical
1076,2024-03-02,Premium,699,3.7,4,5,30,45,Yes,0.9481917342958306,Critical
1261,2024-03-17,Standard,399,2.9,6,4,1,26,Yes,0.9481876630128685,Critical
891,2023-11-30,Premium,699,2.2,3,5,8,28,Yes,0.9480672198871642,Critical
1346,2023-05-11,Premium,699,3.4,7,4,18,31,Yes,0.9476803598732199,Critical
444,2023-05-04,Premium,699,4.3,2,3,7,29,Yes,0.9470396341032343,Critical
2589,2023-12-22,Standard,399,1.8,6,5,19,21,Yes,0.9468483244368213,Critical
2484,2024-09-13,Premium,699,4.7,0,2,13,48,Yes,0.9453539099953683,Critical
734,2024-05-31,Basic,199,1.7,6,3,10,48,Yes,0.944006107084732,Critical
2752,2024-12-15,Standard,399,2.4,5,2,9,23,Yes,0.9439257856990949,Critical
412,2023-12-26,Premium,699,2.2,0,4,10,41,Yes,0.9435557628868906,Critical
872,2024-04-05,Standard,399,2.0,8,5,25,19,Yes,0.9432986317903307,Critical
184,2023-08-14,Standard,399,3.2,7,4,28,42,Yes,0.9430569377329644,Critical
907,2024-07-09,Standard,399,1.3,6,2,34,44,Yes,0.9422031138627569,Critical
178,2023-12-14,Basic,199,1.2,4,5,18,48,Yes,0.9419225348035016,Critical
66,2024-04-11,Basic,199,1.6,7,4,2,54,Yes,0.9416394781919782,Critical
505,2023-06-17,Premium,699,4.9,7,4,29,35,Yes,0.9416189168357803,Critical
1772,2024-03-01,Standard,399,1.2,2,4,30,22,Yes,0.9414496355966927,Critical
1474,2024-09-06,Premium,699,3.4,5,2,3,30,Yes,0.9404021362727922,Critical
407,2024-03-15,Standard,399,1.8,4,5,11,44,Yes,0.9401266297455163,Critical
531,2024-01-20,Premium,699,4.6,5,5,33,41,Yes,0.9397068617913481,Critical
140,2024-03-10,Standard,399,4.4,7,2,35,37,Yes,0.9391427876173546,Critical
503,2024-01-13,Basic,199,1.3,0,2,16,45,Yes,0.9391333172389549,Critical
2528,2023-11-15,Standard,399,1.3,4,3,2,26,Yes,0.9390483427386053,Critical
2160,2023-06-02,Premium,699,1.7,1,4,36,59,Yes,0.9382041640691252,Critical
1293,2024-12-18,Standard,399,2.3,4,2,26,44,Yes,0.9379992148990687,Critical
146,2023-07-25,Standard,399,2.7,4,2,9,47,Yes,0.9377283529108488,Critical
1604,2023-10-08,Premium,699,3.7,0,2,16,51,Yes,0.9376699452030223,Critical
1902,2024-11-16,Premium,699,1.4,6,5,34,47,Yes,0.9371862875657044,Critical
1881,2024-06-27,Premium,699,1.7,8,2,34,34,Yes,0.9371351549284428,Critical
1594,2024-05-12,Premium,699,3.1,5,3,33,45,Yes,0.93672437194629,Critical
1913,2024-01-30,Standard,399,4.1,5,4,17,22,Yes,0.936101067095805,Critical
598,2023-11-09,Basic,199,0.6,6,4,3,35,Yes,0.9356805175686366,Critical
2662,2023-01-16,Basic,199,1.3,1,3,3,37,Yes,0.9356182389486802,Critical
2158,2023-02-07,Standard,399,4.6,8,4,11,33,Yes,0.9351873740004458,Critical
947,2024-06-10,Standard,399,1.7,4,4,23,40,Yes,0.9345696749069672,Critical
1286,2023-05-29,Premium,699,3.1,0,4,15,54,Yes,0.9340680860077581,Critical
287,2024-11-28,Basic,199,1.8,6,2,15,45,Yes,0.9339513627635273,Critical
110,2024-08-26,Standard,399,2.2,3,2,30,50,Yes,0.9335969550440287,Critical
2052,2023-12-18,Premium,699,2.8,5,2,16,21,Yes,0.9320268734687526,Critical
2271,2023-07-28,Standard,399,2.0,0,5,11,29,Yes,0.9314474495881331,Critical
705,2023-12-22,Premium,699,3.6,3,2,7,35,Yes,0.9311506828103945,Critical
1238,2024-06-17,Standard,399,3.8,5,5,22,50,Yes,0.9311503222212544,Critical
203,2023-09-16,Premium,699,2.1,1,4,22,43,Yes,0.9310683714270663,Critical
1597,2023-11-04,Standard,399,1.0,0,2,8,17,Yes,0.9306364770533996,Critical
2610,2023-05-29,Premium,699,1.3,3,2,13,46,Yes,0.9302902074743383,Critical
2150,2024-07-08,Standard,399,4.2,6,4,29,48,Yes,0.9300486490316175,Critical
1354,2024-12-17,Premium,699,2.7,0,3,13,26,Yes,0.9295539175533919,Critical
1778,2023-04-11,Standard,399,0.6,5,3,19,41,Yes,0.9295073973146613,Critical
186,2024-01-25,Standard,399,3.4,7,5,21,27,Yes,0.9294867973910155,Critical
1364,2024-07-27,Premium,699,1.6,3,3,10,35,Yes,0.9294718088182038,Critical
1184,2024-05-21,Premium,699,4.9,5,4,30,44,Yes,0.9293813142428281,Critical
2786,2023-04-19,Premium,699,4.0,2,5,10,32,Yes,0.9292437644435061,Critical
2716,2024-07-01,Premium,699,1.6,0,2,34,58,Yes,0.9292107680435996,Critical
205,2023-12-03,Premium,699,3.7,1,2,26,35,Yes,0.9289756497891495,Critical
1322,2024-07-18,Premium,699,2.8,5,5,32,36,Yes,0.9288101442307747,Critical
2356,2023-02-13,Premium,699,3.4,2,3,7,49,Yes,0.928788727520379,Critical
1864,2023-09-21,Premium,699,3.8,0,2,29,30,Yes,0.9287133709347918,Critical
2591,2024-11-03,Basic,199,4.9,7,3,19,56,Yes,0.9282812847920938,Critical
663,2024-01-06,Standard,399,0.8,3,3,1,37,Yes,0.9281024811568458,Critical
810,2023-04-19,Premium,699,1.7,0,3,29,57,Yes,0.9280495552240716,Critical
1719,2023-07-15,Standard,399,2.5,3,2,30,53,Yes,0.9276878806401816,Critical
1642,2023-06-22,Premium,699,4.0,3,4,18,53,Yes,0.9272975132001234,Critical
2649,2024-06-08,Standard,399,4.8,2,4,18,60,Yes,0.926811144332432,Critical
2020,2024-01-06,Premium,699,0.8,1,2,29,37,Yes,0.9266942933894811,Critical
2573,2023-04-18,Basic,199,2.5,4,3,18,33,Yes,0.926608767609238,Critical
2178,2024-10-31,Basic,199,9.7,5,3,19,58,Yes,0.9265980914669292,Critical
1248,2024-04-09,Premium,699,4.2,2,2,35,24,Yes,0.9265282559907123,Critical
1122,2023-02-16,Premium,699,2.6,8,4,29,20,Yes,0.9262195336767486,Critical
2283,2024-06-29,Basic,199,1.6,5,2,21,30,Yes,0.9256742944453877,Critical
1234,2024-01-27,Standard,399,2.2,0,4,31,58,Yes,0.9246853869806007,Critical
1633,2023-02-16,Basic,199,3.4,5,4,19,38,Yes,0.9243868482943228,Critical
2775,2024-11-06,Basic,199,3.6,5,4,23,22,Yes,0.9240393528423425,Critical
1031,2024-12-31,Basic,199,3.8,5,5,31,25,Yes,0.9232806609047158,Critical
1367,2024-06-09,Basic,199,18.6,6,3,13,43,Yes,0.9231954602510201,Critical
1703,2024-03-10,Premium,699,4.9,5,3,23,49,Yes,0.9228200936063291,Critical
553,2023-08-29,Standard,399,1.7,3,4,18,41,Yes,0.9216880217055056,Critical
2605,2024-05-18,Basic,199,4.3,7,2,13,49,Yes,0.9215695423530456,Critical
309,2024-01-22,Premium,699,9.7,6,3,27,55,No,0.9210205670686331,Critical
1639,2024-09-22,Basic,199,1.5,3,3,10,33,Yes,0.9206344076779991,Critical
1360,2024-09-11,Standard,399,18.7,5,5,24,49,Yes,0.9183743376191702,Critical
2112,2024-01-02,Premium,699,2.1,1,2,28,56,No,0.9181229865229958,Critical
1092,2024-08-11,Basic,199,2.0,0,5,28,59,Yes,0.917743075314186,Critical
2637,2023-07-19,Standard,399,1.5,0,2,31,49,Yes,0.9171950495076598,Critical
1853,2023-04-13,Basic,199,0.9,6,3,30,25,Yes,0.9168415884330593,Critical
2364,2023-05-08,Basic,199,1.6,3,5,27,23,Yes,0.9163320094981142,Critical
2689,2023-08-08,Premium,699,0.6,5,1,8,60,Yes,0.9150355140673248,Critical
2648,2023-05-22,Premium,699,4.0,1,4,36,45,Yes,0.9142380079591806,Critical
739,2023-11-25,Premium,699,3.3,6,3,6,23,Yes,0.9140213897572177,Critical
52,2023-09-12,Standard,399,4.9,5,3,2,51,Yes,0.9139878323409119,Critical
1163,2024-08-09,Basic,199,0.8,1,4,7,50,Yes,0.9137222139841563,Critical
1156,2023-12-08,Standard,399,3.1,3,2,16,53,Yes,0.9133762183016002,Critical
1807,2023-05-16,Premium,699,2.7,3,5,18,53,No,0.9128778389337886,Critical
1187,2023-08-24,Standard,399,2.6,1,2,36,28,Yes,0.9120213613184117,Critical
1908,2024-05-24,Standard,399,3.0,1,5,20,25,Yes,0.911847149897678,Critical
1388,2024-06-07,Premium,699,1.0,0,0,8,34,Yes,0.9112926562603796,Critical
270,2024-09-12,Basic,199,3.9,5,3,3,33,Yes,0.9108938558848579,Critical
1109,2023-06-10,Premium,699,3.4,3,3,34,30,Yes,0.9102114618578303,Critical
733,2024-12-15,Standard,399,1.5,8,4,34,9,Yes,0.9101086250791911,Critical
2581,2024-01-24,Standard,399,3.0,4,2,9,23,Yes,0.910046056600041,Critical
1301,2024-01-12,Premium,699,19.6,6,2,6,40,Yes,0.909318407204922,Critical
143,2023-10-21,Standard,399,0.7,0,4,18,47,Yes,0.9079610327103019,Critical
755,2023-07-27,Standard,399,3.7,2,4,35,34,Yes,0.907447634485708,Critical
1982,2023-08-07,Premium,699,22.6,8,3,24,23,Yes,0.9069013786205735,Critical
710,2023-01-20,Standard,399,19.5,8,3,1,46,Yes,0.905321190094242,Critical
180,2023-12-16,Premium,699,2.7,8,1,2,24,Yes,0.9052094426876093,Critical
1205,2023-12-01,Premium,699,2.2,0,2,34,33,Yes,0.9048563815958294,Critical
931,2024-06-23,Standard,399,2.8,0,4,23,41,Yes,0.9043964504587765,Critical
1311,2023-12-27,Premium,699,3.9,7,5,29,20,Yes,0.9041298083790925,Critical
620,2023-05-02,Standard,399,4.2,2,2,14,38,Yes,0.9034846286536135,Critical
1608,2024-07-23,Basic,199,0.7,0,2,29,30,Yes,0.9029789011417254,Critical
2136,2024-08-04,Basic,199,9.7,6,3,32,45,Yes,0.9025827835219277,Critical
635,2023-11-20,Premium,699,3.4,0,3,34,41,Yes,0.9022122569264133,Critical
164,2024-08-30,Premium,699,18.8,7,3,8,49,Yes,0.9019071314365187,Critical
447,2024-11-24,Standard,399,2.7,3,2,10,25,Yes,0.9010653744029716,Critical
1687,2024-04-18,Premium,699,20.2,5,4,14,38,Yes,0.9010348039888821,Critical
2217,2023-12-09,Premium,699,0.7,2,2,12,26,Yes,0.9008142297642799,Critical
1750,2023-07-03,Premium,699,19.6,5,4,24,23,Yes,0.8999447483550926,Critical
1290,2024-12-18,Basic,199,4.2,3,5,22,59,Yes,0.8996480795590401,Critical
2426,2024-02-13,Standard,399,19.9,8,2,3,43,Yes,0.8986302508216035,Critical
1536,2024-07-28,Basic,199,3.9,4,4,17,42,Yes,0.8984152108055742,Critical
1302,2024-06-05,Basic,199,3.4,1,3,8,41,Yes,0.898218377890228,Critical
836,2023-02-08,Premium,699,7.1,8,4,33,23,Yes,0.8980528200723119,Critical
219,2023-03-23,Premium,699,19.1,7,3,9,39,Yes,0.8978280756357608,Critical
876,2024-04-12,Basic,199,0.9,0,2,9,52,Yes,0.8968352563098454,Critical
1212,2023-07-07,Standard,399,4.9,6,3,16,24,Yes,0.89638623059453,Critical
530,2023-01-23,Basic,199,1.0,3,5,26,8,Yes,0.8962178930236759,Critical
149,2024-02-11,Standard,399,3.9,3,5,5,46,Yes,0.8961001674194055,Critical
1602,2024-11-25,Premium,699,20.3,8,3,4,60,Yes,0.8956783452900716,Critical
1030,2023-03-29,Basic,199,22.7,5,4,29,43,Yes,0.8952278223641469,Critical
2707,2023-08-25,Basic,199,4.7,6,2,6,10,Yes,0.8947537083493307,Critical
168,2024-09-03,Basic,199,3.6,8,5,5,20,Yes,0.8946637725506701,Critical
2428,2024-12-03,Premium,699,19.0,6,3,24,46,Yes,0.893839987517266,Critical
1630,2023-04-14,Basic,199,7.0,8,5,27,59,Yes,0.893783371785545,Critical
957,2023-09-17,Basic,199,3.1,8,4,13,3,Yes,0.8933949835079649,Critical
1610,2023-08-21,Basic,199,4.9,4,2,29,55,Yes,0.8931159361721566,Critical
1867,2023-09-13,Premium,699,18.7,6,2,6,56,Yes,0.8929450283735775,Critical
2346,2024-05-24,Premium,699,6.5,6,2,1,30,Yes,0.8928840557536614,Critical
2468,2023-05-19,Standard,399,18.8,5,4,17,40,Yes,0.8926574306934139,Critical
1600,2023-12-11,Premium,699,1.3,5,0,20,58,Yes,0.8926490248231922,Critical
1619,2024-08-18,Premium,699,20.3,8,5,14,49,Yes,0.892307861703812,Critical
546,2024-12-01,Standard,399,4.9,6,2,29,39,Yes,0.8922351087165846,Critical
713,2023-05-13,Standard,399,3.2,8,5,21,4,Yes,0.8920143150060368,Critical
2349,2023-04-22,Premium,699,20.3,8,5,5,49,Yes,0.8918176822869232,Critical
1829,2024-01-14,Standard,399,2.0,0,5,25,21,Yes,0.8917804921417701,Critical
2523,2024-06-24,Basic,199,1.1,6,1,13,22,Yes,0.8917487886684127,Critical
827,2023-10-29,Premium,699,15.5,8,3,1,54,Yes,0.8912987152253844,Critical
571,2023-10-01,Premium,699,1.1,2,0,7,42,Yes,0.8895730890802237,Critical
781,2023-11-02,Standard,399,4.1,0,5,3,36,Yes,0.8886813018891854,Critical
1555,2023-10-24,Basic,199,4.7,8,1,16,30,Yes,0.8884837670221066,Critical
820,2024-12-11,Premium,699,19.7,6,4,28,50,Yes,0.8883696052264796,Critical
414,2024-03-15,Basic,199,3.9,1,4,7,46,Yes,0.8881093766774235,Critical
2603,2023-10-20,Standard,399,1.3,6,2,4,19,Yes,0.8873326827283948,Critical
2060,2023-09-30,Standard,399,4.2,0,5,14,47,Yes,0.8872955035337001,Critical
120,2024-06-14,Premium,699,16.6,8,3,1,26,Yes,0.8868945338052023,Critical
1147,2024-08-06,Premium,699,2.1,2,5,12,4,Yes,0.8867714636471804,Critical
1386,2023-06-17,Premium,699,5.5,7,4,6,57,Yes,0.8862336970401512,Critical
1403,2023-08-18,Standard,399,4.0,8,3,30,15,Yes,0.8858930296541793,Critical
1938,2024-03-27,Basic,199,2.9,2,4,23,23,Yes,0.8852586761522331,Critical
965,2023-10-23,Basic,199,3.2,2,3,30,48,Yes,0.88460711482965,Critical
1088,2024-01-05,Standard,399,4.7,4,2,33,45,Yes,0.8842827631023645,Critical
2273,2024-04-05,Standard,399,2.1,7,2,34,19,Yes,0.8827545657737363,Critical
1020,2024-10-26,Standard,399,3.2,3,4,6,45,No,0.8825253856939391,Critical
1135,2024-02-09,Premium,699,1.6,8,4,19,4,Yes,0.8819787322790495,Critical
1930,2023-04-07,Basic,199,1.2,7,5,12,7,Yes,0.8818271846253668,Critical
1900,2024-09-10,Basic,199,3.4,3,2,7,37,Yes,0.8813993906181559,Critical
77,2023-08-13,Standard,399,13.7,8,4,27,57,Yes,0.8813718050106701,Critical
1430,2024-11-27,Premium,699,1.5,4,3,32,26,Yes,0.8813639653591163,Critical
2627,2024-07-14,Premium,699,23.0,7,5,36,24,Yes,0.8812831424602452,Critical
1003,2023-02-26,Premium,699,4.8,0,5,36,31,Yes,0.8810880647558965,Critical
1658,2023-08-29,Premium,699,19.5,7,3,9,38,Yes,0.8806187859766453,Critical
1297,2023-02-27,Basic,199,9.7,6,5,10,53,Yes,0.8803895369240827,Critical
305,2024-07-26,Standard,399,11.6,8,3,4,29,Yes,0.8798309319857543,Critical
1333,2024-04-04,Premium,699,6.5,8,5,23,38,Yes,0.8791232408231496,Critical
160,2023-08-27,Premium,699,2.2,8,1,14,37,Yes,0.878937963408626,Critical
1550,2023-01-07,Premium,699,3.8,2,2,32,40,Yes,0.8789116942338173,Critical
2578,2024-01-26,Basic,199,1.9,7,2,12,15,Yes,0.8781042050807341,Critical
1251,2023-11-12,Standard,399,23.2,6,5,26,23,Yes,0.8774936006558797,Critical
2094,2024-11-27,Basic,199,1.1,0,2,13,7,Yes,0.877342696970377,Critical
1656,2024-11-09,Basic,199,3.3,4,3,15,28,Yes,0.8757197096551711,Critical
2706,2024-08-02,Standard,399,8.7,8,4,30,28,Yes,0.8754641172190183,Critical
744,2023-05-25,Premium,699,18.9,8,3,34,39,Yes,0.874406699375856,Critical
1949,2023-02-18,Premium,699,4.7,5,5,35,3,Yes,0.8734585323032932,Critical
673,2024-05-14,Basic,199,4.8,4,2,35,20,Yes,0.8731102586476317,Critical
1759,2023-03-22,Standard,399,4.1,1,3,3,32,No,0.8729273284231361,Critical
1970,2024-09-25,Standard,399,3.2,1,3,4,33,Yes,0.872762875650084,Critical
2576,2023-04-03,Premium,699,8.1,8,3,29,36,Yes,0.8720975808721401,Critical
1649,2023-02-06,Premium,699,5.2,8,5,21,53,No,0.8719418406007906,Critical
910,2023-07-29,Standard,399,4.8,8,5,24,4,Yes,0.8717609994924759,Critical
1544,2023-05-24,Standard,399,1.2,8,0,30,49,Yes,0.8715854553068179,Critical
1758,2023-12-01,Premium,699,23.0,8,4,16,29,Yes,0.8714937948003998,Critical
1652,2024-12-28,Premium,699,0.6,1,3,14,35,Yes,0.8710190940739687,Critical
2369,2024-01-10,Premium,699,2.7,8,2,30,9,Yes,0.8700703806757142,Critical
2306,2023-12-07,Premium,699,2.5,8,4,36,5,Yes,0.8700246085766511,Critical
1404,2024-03-10,Basic,199,3.4,2,3,9,46,Yes,0.8696934104937151,Critical
2485,2023-08-04,Premium,699,13.2,8,4,30,28,Yes,0.8695653816662233,Critical
929,2024-05-05,Premium,699,20.1,7,2,10,44,Yes,0.8681513953689687,Critical
1438,2024-09-07,Basic,199,4.1,3,2,31,36,Yes,0.86756314885726,Critical
2408,2024-11-28,Standard,399,12.6,8,5,2,40,Yes,0.8674641275986945,Critical
2247,2023-05-21,Standard,399,1.5,1,0,19,60,Yes,0.8673867854305841,Critical
2723,2024-12-18,Basic,199,24.4,5,4,27,38,Yes,0.8671826680757545,Critical
973,2024-02-19,Premium,699,19.0,6,2,18,30,Yes,0.8667222935924429,Critical
1324,2023-01-10,Standard,399,14.0,6,3,35,37,Yes,0.86668084605396,Critical
1381,2024-09-14,Premium,699,1.0,2,1,19,52,Yes,0.864756506168095,Critical
862,2023-04-19,Basic,199,3.2,8,3,32,13,Yes,0.8646262683812431,Critical
2590,2023-06-29,Basic,199,0.7,6,1,4,54,Yes,0.8646201404074778,Critical
861,2024-02-07,Standard,399,4.9,1,3,17,59,Yes,0.8645060609776157,Critical
2505,2023-11-11,Basic,199,23.4,8,2,28,34,Yes,0.8640632047970002,Critical
1663,2024-01-24,Premium,699,3.7,8,0,22,60,Yes,0.864004653635215,Critical
2116,2024-01-16,Basic,199,4.1,2,5,13,44,Yes,0.8635840274628577,Critical
1090,2024-03-29,Standard,399,22.5,8,5,27,23,No,0.8632020193001153,Critical
179,2023-05-26,Standard,399,4.9,2,4,1,42,Yes,0.8631654886671676,Critical
2619,2023-08-27,Basic,199,3.1,7,5,31,8,Yes,0.8631326738197052,Critical
272,2023-11-03,Premium,699,12.9,8,4,22,31,Yes,0.8630478904324494,Critical
1797,2023-01-13,Standard,399,1.2,3,4,15,19,Yes,0.8628598017512537,Critical
22,2024-09-13,Premium,699,3.6,7,4,9,10,Yes,0.8625938579038429,Critical
1583,2024-03-17,Premium,699,3.0,7,4,3,14,Yes,0.8622880958362694,Critical
562,2024-05-31,Basic,199,19.4,7,3,8,42,Yes,0.8616400175920491,Critical
1779,2023-08-18,Standard,399,24.4,6,1,27,40,Yes,0.8613611132905187,Critical
2540,2024-04-23,Premium,699,4.5,6,5,17,8,Yes,0.8612369465426781,Critical
2170,2024-06-21,Standard,399,20.1,6,4,34,34,Yes,0.860257454893744,Critical
1342,2023-10-03,Standard,399,9.7,5,3,26,57,Yes,0.8597461034274673,Critical
724,2024-04-08,Premium,699,9.7,8,5,14,16,Yes,0.859206543519372,Critical
438,2023-07-30,Basic,199,0.5,6,5,22,46,Yes,0.8587358309626788,Critical
1415,2023-12-10,Basic,199,3.2,1,2,18,38,Yes,0.8578073535372258,Critical
1837,2023-10-17,Basic,199,24.9,8,2,28,50,Yes,0.8574406715635557,Critical
1106,2023-09-28,Standard,399,10.4,8,4,34,49,Yes,0.8574196525555304,Critical
177,2024-07-24,Standard,399,20.3,8,4,15,39,Yes,0.8574064837911586,Critical
1669,2023-10-04,Basic,199,18.9,6,5,18,25,Yes,0.857388193176176,Critical
1878,2024-05-31,Basic,199,8.0,6,4,23,60,Yes,0.8571826402310246,Critical
2317,2023-09-09,Standard,399,1.1,0,0,30,42,Yes,0.8568668044630764,Critical
1085,2024-05-25,Basic,199,4.3,4,5,24,28,Yes,0.8563877016910818,Critical
1495,2023-05-05,Standard,399,10.1,7,3,4,54,Yes,0.8563207665961782,Critical
